"AFFILIATE_NETWORK_NAME","REVENUE_MONTH","REVENUE_USD","REVENUE_USD_DIFF"
AffiliateWindow,"2022-02",43053.3776937868,
AffiliateWindow,"2022-03",15390.368820280568,-27663.008873506235
AvantLink,"2022-02",18212.91059057791,
AvantLink,"2022-03",7435.483128438445,-10777.427462139465
BrandReward,"2022-02",100891.25371685873,
BrandReward,"2022-03",21404.136138704605,-79487.11757815412
Commission Junction,"2022-02",260153.0666941775,
Commission Junction,"2022-03",104749.54919475678,-155403.51749942073
DigiDip,"2022-02",213715.10178833758,
DigiDip,"2022-03",98912.06159657276,-114803.04019176481
FlexOffers,"2022-02",1545.4763108419188,
FlexOffers,"2022-03",885.2054118405731,-660.2708990013457
Groupon Partner Network,"2022-02",2388.219075888448,
Groupon Partner Network,"2022-03",561.4956610620007,-1826.7234148264474
Impact Radius,"2022-02",319701.3831907485,
Impact Radius,"2022-03",109025.73205408428,-210675.65113666424
LinkConnector,"2022-02",2318.83160210839,
LinkConnector,"2022-03",882.8349902767649,-1435.9966118316252
LinkShare,"2022-02",116310.55587419198,
LinkShare,"2022-03",42895.88832932991,-73414.66754486208
Partnerize,"2022-02",47017.09291205931,
Partnerize,"2022-03",18447.041914904647,-28570.05099715466
PepperJam,"2022-02",77842.4481904893,
PepperJam,"2022-03",23987.600398125847,-53854.84779236346
ShareASale,"2022-02",42842.057758685085,
ShareASale,"2022-03",17333.485413740756,-25508.57234494433
SkimLinks,"2022-02",149656.34597172996,
SkimLinks,"2022-03",47036.75740470179,-102619.58856702817
Viglink,"2022-02",337416.1324015291,
Viglink,"2022-03",130508.66616150842,-206907.4662400207
WebGains,"2022-02",4323.955460747806,
WebGains,"2022-03",1504.5005048180074,-2819.4549559297984
eBay,"2022-02",20355.429591328666,
eBay,"2022-03",8653.69798101904,-11701.731610309625
